taxon_code,species,func_type
carbig,Carex bigelowii,graminoid
claran,Cladonia rangiformis,lichen
claspe,Cladonia sp,lichen
empnig,Empetrum nigrum,shrub
bryoph,bryophyte,bryophyte
poapra,Poa pratensis,graminoid
salher,Salix herbacea,shrub
rock,rock,other
stereo,Stereocaulon sp,lichen
lichen,lichen,lichen
polviv,Polygonum vivipara,forb
carcfr,Carex cfr,graminoid
sibpro,Sibbaldia procumbens,forb
dipalp,Diphasiastrum alpinum,
veralp,Veronica alpina,forb
tarspe,Taraxacum sp,forb
phycoe,Phyllodoce coerulea,shrub
gnasup,Gnaphalium supinum,forb
pyrmin,Pyrola minor,forb
ceralp,Cerastium alpinum,forb
phlcom,Phleum commutatum,graminoid
trispi,Trisetum spicatum,graminoid
chalat,Chamaenerion latifolium,forb
oxydig,Oxyria digyna,forb
salgla,Salix glauca,shrub
alcalp,Alchemilla alpina,forb
luzpar,Luzula parviflora,graminoid
desfle,Deschampsia flexuosa,graminoid
stelon,Stellaria longipes,forb
vaculi,Vaccinium uliginosum,shrub
hiealp,HierochloÃ« alpina,graminoid
coptri,Coptis trifolia,forb
stecal,Stellaria calycantha,forb
callan,Calamagrostis langsdorfii,graminoid
rhoros,Rhodiola rosea,forb
lycann,Lycopodium annotinum,
ledgro,Ledum groenlandicum,shrub
gymdry,Gymnocarpium dryopteris,forb
stecan,,
gnanor,Gnaphalium norvegicum,forb
equsil,Equisetum silvaticum,
salarc,Salix arctophila,decidous_shrub
luzmul,Luzula multiflora,graminoid
carrar,Carex rariflora,graminoid
eriang,Eriophorum angustifolium,graminoid
angarc,Angelica archangelica,forb
stespe,Stellaria sp,forb
scicae,Scirpis caespitosus,graminoid
oxypal,Oxycoccus palustris,forb
betnan,Betula nana,shrub
ledpal,Ledum palustre,shrub
cardef,Carex deflexa,graminoid
juntri,Juncus trifidus,graminoid
loipro,Loiseleuria procumbens,shrub
hupsel,Huperzia selago,
carlac,Carex lachenalii,graminoid
cercer,Cerastium cerastoides,forb
luzcon,Luzula confusa,graminoid
saxfol,Saxifraga foliolosa,forb
baralp,Bartsia alpina,forb
pedlap,Pedicularis lapponica,forb
pinvul,Pinguicula vulgaris,forb
tofpus,Tofieldia pusilla,
carcap,Carex capillaris,graminoid
dialap,Diapensia lapponica,shrub
equarv,Equisetum arvense,
corsue,Cornus suecica,forb
liscor,Listera cordata,forb
carsci,Carex scirpoidea,graminoid
camgie,Campanula gieseckiana,forb
poanem,Poa nemoralis,graminoid
hiehyp,Hieracium hyparcticum,forb
violab,Viola labradorica,forb
hiespe,Hieracium sp,forb
hercfr,Herb cfr,forb
chaang,Chamaenerion angustifolium,forb
poagla,Poa glauca,graminoid
luzspi,Luzula spicata,graminoid
poaalp,Poa alpina,graminoid
tricfr,Tricetum cfr,graminoid
pottri,Potentilla tridentata,forb
agrmer,Agrostis mertensii,graminoid
fesbra,Festuca brachyphylla,graminoid
fesviv,Festuca vivipara,graminoid
fesrub,Festuca rubra,graminoid
cargla,Carex glareosa,graminoid
potege,Potentilla egedii,forb
stehum,Stellaria humifusa,forb
carsal,Carex salina,graminoid
tripal,Triglochin palustre,
corcfr,Cornus cfr,forb
verwor,Veronica wormskjoldii,forb
epiana,Epilobium anagallidifolium,forb
camdis,,
luzspe,Luzula sp,graminoid
carcan,Carex canescens,graminoid
epilac,Epilobium lactiflorum,forb
carsub,Carex subspathacea,graminoid
potcra,Potentilla crantzii,forb
na,na,
poaspe,Poa sp,graminoid
seecfr,seedling cfr,
fesspe,Festuca sp,graminoid
viospe,Viola sp,forb