vt_section,veg_type
1,snowbed
2,snowbed
3,snowbed
4,snowbed
5,snowbed
6,snowbed
7,heath
8,heath
9,snowbed
10,copse
11,riverbed
12,heath
13,copse
14,riverbed
15,copse
16,riverbed
17,copse
18,riverbed
19,copse
20,heath
21,copse
22,fen
23,heath
24,bedrock
25,heath
26,heath
27,heath
28,heath
29,heath
30,bedrock
31,heath
32,bedrock
33,heath
34,heath
35,heath
36,snowbed
37,heath
38,snowbed
39,heath
40,lake
41,fen
42,river
43,heath
44,heath
45,bedrock
46,heath
47,heath
48,fen
49,heath
50,fen
51,fen
52,heath
53,heath
54,fen
55,heath
56,heath
57,heath
58,bedrock
59,heath
60,heath
61,copse
62,heath
63,heath
64,heath
65,heath
66,heath
67,fen
68,fen
69,heath
70,heath
71,copse
72,heath
73,heath
74,heath
75,copse
76,heath
77,snowbed
78,copse
79,heath
80,bedrock
81,heath
82,bedrock
83,heath
100,heath
101,saltmarsh
102,bedrock
103,heath
104,fen
105,heath
106,heath
200,abrasion